Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
ARF5	ARF5	ADP-ribosylation factor 5	GO:0000166 GO:0003924 GO:0005525 GO:0005622 GO:0005886 GO:0006364 GO:0006886 GO:0006888 GO:0007264 GO:0008047 GO:0008565 GO:0015031 	hsa05110 	 	 	 
NUBP1	NUBP1	"Nucleotide binding protein 1 (MinD homolog, E. coli)"	GO:0000166 GO:0000921 GO:0005524 GO:0005554 GO:0017111 	 	 	 	 
FURIN	FURIN	Furin (paired basic amino acid cleaving enzyme)	GO:0004276 GO:0004289 GO:0005509 GO:0005515 GO:0005615 GO:0005769 GO:0005794 GO:0006508 GO:0007267 GO:0008233 GO:0012510 GO:0016020 GO:0016021 GO:0030140 	 	 	157118 157122 159782 159854 163841 170834 	156994 157013 157042 157131 159728 159733 159771 159773 159796 159868 163798 163843 170844 
LGALS3	LGALS3	"Lectin, galactoside-binding, soluble, 3 (galectin 3)"	GO:0005515 GO:0005529 GO:0005576 GO:0005634 GO:0005737 GO:0005886 GO:0019863 	 	 	 	 
SREBF1	SREBF1	Sterol regulatory element binding transcription factor 1	GO:0003700 GO:0003702 GO:0005634 GO:0005635 GO:0005783 GO:0005789 GO:0006357 GO:0006629 GO:0008202 GO:0008203 GO:0016020 GO:0016021 GO:0030528 GO:0045449 	hsa04910 	 	 	 
GAS6	GAS6	Growth arrest-specific 6	GO:0001558 GO:0005102 GO:0005509 GO:0005576 GO:0005615 GO:0007165 GO:0008283 	 	 	159740 159763 159782 159854 163841 	163809 163810 163843 
SPP1	SPP1	"Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)"	GO:0001503 GO:0005125 GO:0005178 GO:0005515 GO:0005576 GO:0005578 GO:0005615 GO:0006916 GO:0007155 GO:0007160 GO:0007267 GO:0008083 GO:0030502 GO:0030595 GO:0042088 GO:0042102 GO:0045637 GO:0050930 	hsa01430 hsa04510 hsa04512 	 	 	 
CTSH	CTSH	Cathepsin H	GO:0004197 GO:0004215 GO:0005615 GO:0005764 GO:0006508 	 	 	 	 
PLA2G7	PLA2G7	"Phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"	GO:0003847 GO:0005543 GO:0005576 GO:0005615 GO:0006954 GO:0008247 GO:0016042 GO:0016787 	hsa00564 	 	 	 
GLUL	GLUL	Glutamate-ammonia ligase (glutamine synthetase)	GO:0001505 GO:0004356 GO:0006542 GO:0006807 GO:0016874 	hsa00251 hsa00550 hsa00910 	 	70614 71291 	70606
PBP	PBP	none	 	 	 	 	 
TAF10	TAF10	none	 	 	 	 	 
ALDH9A1	ALDH9A1	"Aldehyde dehydrogenase 9 family, member A1"	GO:0004028 GO:0004029 GO:0005489 GO:0005737 GO:0005829 GO:0006081 GO:0006118 GO:0008152 GO:0009437 GO:0016491 GO:0019145 GO:0042136 GO:0042445 GO:0047105 	hsa00010 hsa00053 hsa00071 hsa00120 hsa00280 hsa00310 hsa00330 hsa00340 hsa00380 hsa00410 hsa00561 hsa00620 hsa00640 hsa00650 hsa00903 	 	 	 
